icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,timestamp_ingest
e49e56,PSGMD,Brazil,1750871455,1750871457,-46.6746,-23.584,792.48,false,12.87,267.71,2025-06-25T17:13:11.194727+00:00Z
e49e67,PTEHJ,Brazil,1750871572,1750871572,-47.5633,-22.6609,1859.28,false,81.8,90.72,2025-06-25T17:13:11.194811+00:00Z
e49d98,PTOUF,Brazil,1750871583,1750871583,-47.9224,-22.8524,5562.6,false,87.67,295.36,2025-06-25T17:13:11.195193+00:00Z
e49d24,AZU6006,Brazil,1750871584,1750871584,-50.7192,-29.1432,6713.22,false,176.06,228.67,2025-06-25T17:13:11.195415+00:00Z
e49c5a,TAM3017,Brazil,1750871584,1750871584,-46.6888,-23.5796,1021.08,false,71.77,146.99,2025-06-25T17:13:11.196063+00:00Z
e47e7c,GLO2145,Brazil,1750871583,1750871583,-46.6254,-24.5108,6553.2,false,196.52,359.85,2025-06-25T17:13:11.196133+00:00Z
e064cb,ARG1881,Argentina,1750871583,1750871583,-58.3722,-35.1806,3459.48,false,140.78,12.67,2025-06-25T17:13:11.196418+00:00Z
e48ef4,PRBJA,Brazil,1750871584,1750871584,-48.1553,-27.296,10363.2,false,188.91,230.41,2025-06-25T17:13:11.196559+00:00Z
e80411,LAN406,Chile,1750871584,1750871584,-50.5405,-28.1828,10058.4,false,259.78,29.15,2025-06-25T17:13:11.197351+00:00Z
e48f02,7657,Brazil,1750871561,1750871582,-46.8311,-26.3049,11887.2,false,272.1,45.0,2025-06-25T17:13:11.197562+00:00Z
e48daf,AZU4741,Brazil,1750871584,1750871584,-46.6487,-23.3824,2278.38,false,127.28,229.1,2025-06-25T17:13:11.201658+00:00Z
e48dc1,TAM3174,Brazil,1750871581,1750871583,-49.4494,-23.4172,11582.4,false,189.52,265.02,2025-06-25T17:13:11.201791+00:00Z
e48dc5,TAM3373,Brazil,1750871584,1750871584,-46.6295,-23.4723,1455.42,false,92.57,109.14,2025-06-25T17:13:11.201892+00:00Z
e48e0a,GLO1204,Brazil,1750871478,1750871582,-47.5851,-25.4151,9144.0,false,199.9,213.24,2025-06-25T17:13:11.202294+00:00Z
e0b2d8,LQKKX,Argentina,1750871584,1750871584,-58.6426,-34.1022,5166.36,false,74.4,324.0,2025-06-25T17:13:11.202363+00:00Z
e48e94,GLO1397,Brazil,1750871584,1750871584,-47.3701,-22.8072,6408.42,false,188.78,124.34,2025-06-25T17:13:11.202432+00:00Z
e48e09,GLO1026,Brazil,1750871584,1750871584,-46.0021,-23.6311,6164.58,false,212.3,83.46,2025-06-25T17:13:11.202674+00:00Z
e4a012,TAM4630,Brazil,1750871352,1750871352,-46.6594,-23.624,null,true,5.66,326.25,2025-06-25T17:13:11.202822+00:00Z
ae08bf,SHARK07,United States,1750871569,1750871569,-43.7777,-22.5494,4419.6,false,153.18,148.18,2025-06-25T17:13:11.203061+00:00Z
e48985,GLO1259,Brazil,1750871584,1750871584,-50.8858,-29.8122,3954.78,false,156.67,38.6,2025-06-25T17:13:11.203142+00:00Z
405bfe,BAW248,United Kingdom,1750871482,1750871547,-45.6371,-25.2102,12496.8,false,278.29,44.48,2025-06-25T17:13:11.203358+00:00Z
e485b0,TAM3639,Brazil,1750871584,1750871584,-47.5441,-23.0311,6896.1,false,209.76,124.51,2025-06-25T17:13:11.203839+00:00Z
e4999d,TAM8036,Brazil,1750871583,1750871584,-48.1763,-24.5399,9144.0,false,199.69,237.95,2025-06-25T17:13:11.204109+00:00Z
