icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,timestamp_ingest
e07581,ARG1546,Argentina,1750889518,1750889518,-58.9165,-34.3661,9669.78,false,189.23,327.43,2025-06-25T22:12:16.904821+00:00Z
e49ef4,GLO1612,Brazil,1750889518,1750889518,-46.1635,-23.3229,6324.6,false,191.92,21.54,2025-06-25T22:12:16.904952+00:00Z
e07543,ARG1792,Argentina,1750889518,1750889518,-58.575,-33.9155,7139.94,false,190.96,358.15,2025-06-25T22:12:16.905074+00:00Z
e49f45,AZU2778,Brazil,1750889516,1750889517,-47.6599,-24.7574,9753.6,false,200.65,194.86,2025-06-25T22:12:16.905111+00:00Z
e073cf,ARG1834,Argentina,1750889518,1750889518,-58.3619,-35.2434,7757.16,false,226.24,189.29,2025-06-25T22:12:16.905148+00:00Z
3c4b32,DLH511,Germany,1750889517,1750889518,-42.2464,-22.5763,10058.4,false,289.36,43.05,2025-06-25T22:12:16.905184+00:00Z
e49f5a,AZU4387,Brazil,1750889517,1750889517,-47.2381,-23.102,2194.56,false,143.9,274.1,2025-06-25T22:12:16.905220+00:00Z
e0b112,FBZ5243,Argentina,1750889517,1750889518,-58.3312,-34.6359,495.3,false,86.0,15.62,2025-06-25T22:12:16.905406+00:00Z
e0b148,FBZ5903,Argentina,1750889480,1750889485,-46.0728,-25.8166,10972.8,false,194.66,226.18,2025-06-25T22:12:16.905442+00:00Z
e49dd2,PSJFV,Brazil,1750889518,1750889518,-49.1092,-27.0169,13106.4,false,197.04,213.61,2025-06-25T22:12:16.905479+00:00Z
e49e35,PSAVC,Brazil,1750889518,1750889518,-46.8059,-23.3557,1181.1,false,64.78,145.68,2025-06-25T22:12:16.905589+00:00Z
e49e2c,PSNVZ,Brazil,1750889516,1750889517,-45.8436,-23.5056,6400.8,false,125.54,69.11,2025-06-25T22:12:16.905624+00:00Z
896110,UAE247,United Arab Emirates,1750889517,1750889517,-50.8461,-29.4099,9753.6,false,208.21,237.41,2025-06-25T22:12:16.905743+00:00Z
e49d21,AZU2742,Brazil,1750889233,1750889235,-49.7771,-22.5123,11582.4,false,188.68,286.31,2025-06-25T22:12:16.905853+00:00Z
e49d24,AZU2887,Brazil,1750889476,1750889516,-47.3571,-26.912,11582.4,false,186.74,227.12,2025-06-25T22:12:16.905889+00:00Z
e49bfe,TAM3424,Brazil,1750889248,1750889306,-47.9956,-25.4759,9136.38,false,228.89,212.8,2025-06-25T22:12:16.906568+00:00Z
ac7af8,PSFSW,United States,1750889389,1750889390,-46.6536,-23.6259,723.9,true,6.17,326.25,2025-06-25T22:12:16.906744+00:00Z
e47e7e,GLO1225,Brazil,1750889517,1750889517,-46.4994,-24.3123,5448.3,false,162.2,63.03,2025-06-25T22:12:16.906859+00:00Z
e80616,JES3142,Chile,1750889495,1750889495,-57.9115,-31.326,10683.24,false,203.15,9.92,2025-06-25T22:12:16.906938+00:00Z
e8061f,JAT775,Chile,1750889517,1750889517,-47.7798,-24.8846,9136.38,false,206.77,241.14,2025-06-25T22:12:16.907306+00:00Z
e48fe5,PRBBK,Brazil,1750889518,1750889518,-46.6932,-23.5023,1028.7,false,69.36,130.19,2025-06-25T22:12:16.907388+00:00Z
e48fb5,GLO1087,Brazil,1750889518,1750889518,-46.7684,-23.6759,2735.58,false,114.09,309.14,2025-06-25T22:12:16.907536+00:00Z
e8043d,LAN740,Chile,1750889518,1750889518,-59.2713,-34.961,11277.6,false,263.99,77.51,2025-06-25T22:12:16.907828+00:00Z
e8044d,LAN772,Chile,1750889434,1750889434,-59.6258,-29.9216,10058.4,false,252.65,69.5,2025-06-25T22:12:16.907953+00:00Z
e8046c,TAM8195,Chile,1750889517,1750889517,-47.0625,-22.9503,4564.38,false,197.06,91.05,2025-06-25T22:12:16.908076+00:00Z
e8046f,TAM8203,Chile,1750889518,1750889518,-48.1068,-22.7165,9212.58,false,270.58,109.43,2025-06-25T22:12:16.908114+00:00Z
e80412,LAN771,Chile,1750889518,1750889518,-46.3111,-24.0092,9144.0,false,202.97,242.2,2025-06-25T22:12:16.908223+00:00Z
e80449,LAN425,Chile,1750889517,1750889517,-59.0846,-34.8839,4480.56,false,205.5,76.24,2025-06-25T22:12:16.908295+00:00Z
